"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Portal Code","Item Code",Description,GST,"Basic Rate","Product Basic Rate","Basic Rate Confirmation","Net Landing Rate","Product Net Landing Rate","Net Landing Rate Confirmation",MRP,"Product MRP","MRP Confirmation","Case Pack Quantity","PO Quantity","Available Quantity","Unavailable Quantity","Warehouse Allocation",Reason
Bangalore-FMCG-DC,IRA35930814,BM120-S2,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-FMCG-DC,31-03-2026,30-04-2026,70133700,BigBasket,40356634,"Yera Beer Moulded Mug Moulded 375 ml  (Set of 2)",18,102.2,102.2,Correct,120.6,120.596,Correct,399,,Incorrect,0,72,72,0,"Baroda Warehouse 1 - PO Qty: 72, Available: 72, Unavailable: 0",
Noida-New-FC,IRA35934877,JR500-ST,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- GREATER NOIDA",Noida-New-FC,31-03-2026,30-04-2026,70133900,BigBasket,40183541,"Yera Glass Jar With Steel Cap 565 ml  Set of 2",18,137.2,137.2,Correct,161.9,161.896,Correct,280,,Incorrect,120,110,39,71,"Baroda Warehouse 1 - PO Qty: 110, Available: 39, Unavailable: 71<br>PO Required: 71",
Mumbai-GM-NDC,IRA35930049,"BS801 ( 2 piece ) orange lid","Innovative Retail Concepts Pvt Ltd - Mumbai-GM-NDC",Mumbai-GM-NDC,31-03-2026,30-04-2026,70133900,BigBasket,40183528,"Yera Glass Storage Bowl - With Orange Lid 785 ml  (Set of 2)",18,159.25,159.25,Correct,187.92,187.915,Correct,325,,Incorrect,0,36,36,0,"Baroda Warehouse 1 - PO Qty: 36, Available: 36, Unavailable: 0",
Chennai-FMCG-DC,IRA35931340,BM120,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - CHENNAI",Chennai-FMCG-DC,31-03-2026,30-04-2026,70133700,BigBasket,40356635,"Yera Beer Moulded Mug 380 ml",18,57,57,Correct,67.26,67.26,Correct,199,,Incorrect,0,36,36,0,"Baroda Warehouse 1 - PO Qty: 36, Available: 36, Unavailable: 0",
"Pune-FV- FMCG-DC",IRA35933686,BM120,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",31-03-2026,30-04-2026,70133700,BigBasket,40356635,"Yera Beer Moulded Mug 380 ml",18,57,57,Correct,67.26,67.26,Correct,199,,Incorrect,0,36,36,0,"Baroda Warehouse 1 - PO Qty: 36, Available: 36, Unavailable: 0",
"Pune-FV- FMCG-DC",IRA35933686,"JR245 4 piece","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",31-03-2026,30-04-2026,70133900,BigBasket,40207577,"Yera Glass Jar Set With Blue Printed Lids - Small 245 ml  (Set of 4)",18,98,98,Correct,115.64,115.64,Correct,200,,Incorrect,108,36,36,0,"Baroda Warehouse 1 - PO Qty: 36, Available: 36, Unavailable: 0",
Kundli-DC,IRA35933944,BM120,"Innovative Retail Concepts Private Limited - Kundli-DC",Kundli-DC,31-03-2026,30-04-2026,70133700,BigBasket,40356635,"Yera Beer Moulded Mug 380 ml",18,57,57,Correct,67.26,67.26,Correct,199,,Incorrect,0,36,34,2,"Baroda Warehouse 1 - PO Qty: 36, Available: 36, Unavailable: 0",
Noida-New-FC,IRA35934877,"B7FH 3 piece","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- GREATER NOIDA",Noida-New-FC,31-03-2026,30-04-2026,70133900,BigBasket,40207570,"Yera Small Storage Pickle Chutney Jars With Lid 3 pcs",18,68.85,68.85,Correct,81.24,81.243,Correct,135,,Incorrect,144,24,24,0,"Baroda Warehouse 1 - PO Qty: 24, Available: 24, Unavailable: 0",
"Pune-FV- FMCG-DC",IRA35933686,CM225,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",31-03-2026,30-04-2026,70134900,BigBasket,40356649,"Yera Premium Glass Irish Coffee Mug 225 ml  (Set of 6)",18,343,343,Correct,404.74,404.74,Correct,700,,Incorrect,0,24,24,0,"Baroda Warehouse 1 - PO Qty: 24, Available: 24, Unavailable: 0",
Chennai-FMCG-DC,IRA35931340,BM120-S2,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - CHENNAI",Chennai-FMCG-DC,31-03-2026,30-04-2026,70133700,BigBasket,40356634,"Yera Beer Moulded Mug Moulded 375 ml  (Set of 2)",18,102.2,102.2,Correct,120.6,120.596,Correct,399,,Incorrect,0,36,18,18,"Baroda Warehouse 1 - PO Qty: 36, Available: 36, Unavailable: 0",
