"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Portal Code","Item Code",Description,GST,"Basic Rate","Product Basic Rate","Basic Rate Confirmation","Net Landing Rate","Product Net Landing Rate","Net Landing Rate Confirmation",MRP,"Product MRP","MRP Confirmation","Case Pack Quantity","PO Quantity","Available Quantity","Unavailable Quantity","Warehouse Allocation",Reason
Bangalore-2-FV-FMCG-DC,IRM35123583,"BS801 ( 2 piece ) orange lid","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40183528,"Yera Glass Storage Bowl - With Orange Lid 785 ml  (Set of 2)",18,159.24,159.25,Correct,187.9,187.915,Correct,325,,Incorrect,0,36,0,36,"PO Required: 36",
Bangalore-2-FV-FMCG-DC,IRM35123583,JR750-ST,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40183545,"Yera Jar With Steel Cap Set 860 ml  Set of 2",18,176.4,176.4,Correct,208.15,208.152,Correct,360,,Incorrect,0,24,0,24,"PO Required: 24",
Bangalore-2-FV-FMCG-DC,IRM35123583,"KR-0600 ( set of 4 )","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40183555,"Yera Pantry/Cookie/Snacks Round Glass Jar With Blue Lid 580 ml  Set of 4",18,225.4,225.4,Correct,265.97,265.972,Correct,460,,Incorrect,0,72,0,72,"PO Required: 72",
Bangalore-2-FV-FMCG-DC,IRM35123583,KSM600,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40207580,"Yera Glass Storage Jar - With Steel See Through Lid 595 ml  (Set of 2)",18,155.55,155.55,Correct,183.55,183.549,Correct,305,,Incorrect,0,20,0,20,"PO Required: 20",
Bangalore-2-FV-FMCG-DC,IRM35123600,B00410,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40207443,"Ocean San Marino Hi Ball Glass Set - Transparent, B00410 290 ml  (Set of 6)",18,318.68,318.675,Correct,376.04,376.0365,Correct,607,,Incorrect,0,19,0,19,"PO Required: 19",
Bangalore-2-FV-FMCG-DC,IRM35123600,B00914,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70131000,BigBasket,40211706,"Ocean Pilsner Long Drink Glass - New, B00914 400 ml  (Set of 6)",18,405.3,405.3,Correct,478.25,478.254,Correct,772,,Incorrect,48,16,0,16,"PO Required: 16",
Bangalore-2-FV-FMCG-DC,IRM35123600,1019R11,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40211708,"Ocean Lexington Red Wine - New, 1019R11 315 ml  (Set of 6)",18,796.42,796.425,Correct,939.78,939.7815,Correct,2033,,Incorrect,0,48,0,48,"PO Required: 48",
Bangalore-2-FV-FMCG-DC,IRM35123600,B11011,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70133700,BigBasket,40245715,"Ocean Plaza Hi Ball Glass - High Quality 320 ml  (Set of 6)",18,387.45,387.45,Correct,457.19,457.191,Correct,899,,Incorrect,0,9,9,0,"Bhiwandi WH - PO Qty: 9, Available: 9, Unavailable: 0",
Bangalore-2-FV-FMCG-DC,IRM35123602,JR500-ST,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70133700,BigBasket,40183541,"Yera Glass Jar With Steel Cap 565 ml  Set of 2",18,137.2,137.2,Correct,161.9,161.896,Correct,280,,Incorrect,0,30,0,30,"PO Required: 30",
Bangalore-2-FV-FMCG-DC,IRM35123602,T9C,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40183567,"Yera Water/Juice Glass 265 ml  Set of 6",18,99.45,99.45,Correct,117.35,117.351,Correct,195,,Incorrect,0,48,0,48,"PO Required: 48",
Bangalore-2-FV-FMCG-DC,IRM35123602,"B7FH 3 piece","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70133700,BigBasket,40207570,"Yera Small Storage Pickle Chutney Jars With Lid 3 pcs",18,68.85,68.85,Correct,81.24,81.243,Correct,135,,Incorrect,0,72,0,72,"PO Required: 72",
Bangalore-2-FV-FMCG-DC,IRM35123602,"B6FB 6 piece","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - Bengaluru BBBLR005",Bangalore-2-FV-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40207573,"Yera Vega Snack bowls 6 pcs",18,122.5,122.5,Correct,144.55,144.55,Correct,250,,Incorrect,0,48,0,48,"PO Required: 48",
Chennai-FMCG-DC,IRM35123703,"BS801 ( 2 piece ) orange lid","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED - CHENNAI",Chennai-FMCG-DC,01-04-2026,01-05-2026,70134900,BigBasket,40183528,"Yera Glass Storage Bowl - With Orange Lid 785 ml  (Set of 2)",18,159.25,159.25,Correct,187.92,187.915,Correct,325,,Incorrect,0,36,0,36,"PO Required: 36",
