"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Item Code",Description,GST,"Basic Rate","Product Basic Rate","Basic Rate Confirmation","Net Landing Rate","Product Net Landing Rate","Net Landing Rate Confirmation",MRP,"Product MRP","MRP Confirmation","Case Pack Quantity","PO Quantity","Available Quantity","Unavailable Quantity","Warehouse Allocation",Reason
"PJTJ TECHNOLOGIES PRIVATE LIMITED - Lucknow",LKOPO150848,1501W07,"PJTJ TECHNOLOGIES PRIVATE LIMITED","PJTJ TECHNOLOGIES PRIVATE LIMITED
KH NO-543.544,537,540 VILL NATKUR
BIJNOR ROAD, SAROJINI NAGAR
Lucknow, Uttar Pradesh - 226008, India",16-01-2026,17-02-2026,70133700,37032,"Ocean White Wine Glasses (195ml, Transparent, Pack of 6) 6.0 pieces",18,595.53,312.68,Incorrect,702.73,368.16,Incorrect,1152,1152,Correct,0,180,0,180,"PO Required: 180",
"PJTJ TECHNOLOGIES PRIVATE LIMITED - Lucknow",LKOPO150848,SKB2225,"PJTJ TECHNOLOGIES PRIVATE LIMITED","PJTJ TECHNOLOGIES PRIVATE LIMITED
KH NO-543.544,537,540 VILL NATKUR
BIJNOR ROAD, SAROJINI NAGAR
Lucknow, Uttar Pradesh - 226008, India",16-01-2026,17-02-2026,70133700,57142,"Sanjeev Kapoor Infinity Red Wine Glass (230ml, Transparent, Pack of 6) 6.0 pieces",18,403.75,1077,Incorrect,476.43,1270.86,Incorrect,1045,1045,Correct,0,104,0,104,"PO Required: 104",
"PJTJ TECHNOLOGIES PRIVATE LIMITED - Lucknow",LKOPO150848,SKB2226,"PJTJ TECHNOLOGIES PRIVATE LIMITED","PJTJ TECHNOLOGIES PRIVATE LIMITED
KH NO-543.544,537,540 VILL NATKUR
BIJNOR ROAD, SAROJINI NAGAR
Lucknow, Uttar Pradesh - 226008, India",16-01-2026,17-02-2026,70133700,93306,"Sanjeev Kapoor Infinity White Wine Glass (195ml, Transparent, Pack of 6) 6.0 pieces",18,384.47,348.08,Incorrect,453.67,410.64,Incorrect,995,995,Correct,0,64,0,64,"PO Required: 64",
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,1026F07,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70133700,225817,"Ocean Sante Flute Champagne (210ml, Set of 2, Ideal for White or Red Wine, Flat Bottom, Crystal) 2.0 pieces",18,349.15,0,Incorrect,411.82,0,Incorrect,635,0,Incorrect,0,120,0,0,,"SKU Not Found"
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,1501W07,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70133700,37032,"Ocean White Wine Glasses (195ml, Transparent, Pack of 6) 6.0 pieces",18,595.53,312.68,Incorrect,702.73,368.16,Incorrect,1152,1152,Correct,0,264,0,264,"PO Required: 264",
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,8693357208742,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70139900,384591,"Pasabahce Allegra Stem Glass (195ml, Set of 2, Transparent, Elegant & Durable Wine & Champagne Flute Glassware) 2.0 pieces",18,356.72,0,Incorrect,420.08,0,Incorrect,732,0,Incorrect,0,132,0,0,,"SKU Not Found"
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,1026R15,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70133700,460559,"Ocean Sante Red Wine Glasses (420ml, Set of 2, Lead Free, Shatter Resistant, Clear) 2.0 pieces",18,349.15,0,Incorrect,411.82,0,Incorrect,635,0,Incorrect,0,150,0,0,,"SKU Not Found"
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,SKB2225,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70133700,57142,"Sanjeev Kapoor Infinity Red Wine Glass (230ml, Transparent, Pack of 6) 6.0 pieces",18,403.75,1077,Incorrect,476.43,1270.86,Incorrect,1045,1045,Correct,0,160,0,160,"PO Required: 160",
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,1015A21,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70133700,73683,"Ocean Madison Bordeaux Glass (600ml, Transparent, Pack of 6) 6.0 pieces",18,1030.05,368.55,Incorrect,1215.46,434.24,Incorrect,2099,2099,Correct,0,44,0,44,"PO Required: 44",
"MOKSH ENTERPRISES PRIVATE LIMITED - Bangalore",MBIPO332991,8693357208728,"MOKSH ENTERPRISES PRIVATE LIMITED","MOKSH ENTERPRISES PRIVATE LIMITED
Survey no 95/2 and 4/1
Anugondanahalli village
Bangalore, Karnataka - 562114, India",16-01-2026,15-02-2026,70139900,943114,"Pasabahce Allegra Stem Glass (350ml, Set of 2, Clear, Durable Wine & Champagne Flute Glassware) 2.0 pieces",18,356.72,0,Incorrect,420.08,0,Incorrect,732,0,Incorrect,0,144,0,0,,"SKU Not Found"
