"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Portal Code","Item Code",Description,GST,"Basic Rate","Product Basic Rate","Basic Rate Confirmation","Net Landing Rate","Product Net Landing Rate","Net Landing Rate Confirmation",MRP,"Product MRP","MRP Confirmation","Case Pack Quantity","PO Quantity","Available Quantity","Unavailable Quantity","Warehouse Allocation",Reason
"Moonstone Ventures LLP - Kundli",2108510153911,BMHM1000,"Moonstone Ventures LLP - Kundli","Moonstone Ventures LLP - Kundli",27-03-2026,27-03-2026,70139900,Blinkit,10235006,"Pasabahce Glass Homemade Jar(Pack)",18,349.9,393,Incorrect,412.88,463.74,Incorrect,800,,Incorrect,0,60,0,60,"PO Required: 60",
"Moonstone Ventures LLP - Faridabad",49060210005213,BMHM1000,"Moonstone Ventures LLP - Faridabad","Moonstone Ventures LLP - Faridabad",27-03-2026,27-03-2026,70139900,Blinkit,10235006,"Pasabahce Glass Homemade Jar(Pack)",18,349.9,393,Incorrect,412.88,463.74,Incorrect,800,,Incorrect,0,30,0,30,"PO Required: 30",
"MOONSTONE VENTURES LLP - Hyderabad H3",6769410129677,4GH010C02602G0001,"MOONSTONE VENTURES LLP - Hyderabad H3","MOONSTONE VENTURES LLP - Hyderabad H3",27-03-2026,27-03-2026,70131000,Blinkit,10209164,"Ocean Glass Lumi Jar(Box)",18,414,414,Correct,488.52,488.52,Correct,760,,Incorrect,36,18,0,18,"PO Required: 18",
"MOONSTONE VENTURES LLP - Guwahati G1",7164510037505,4GH010C02602G0001,"MOONSTONE VENTURES LLP - Guwahati G1","MOONSTONE VENTURES LLP - Guwahati G1",27-03-2026,27-03-2026,70131000,Blinkit,10209164,"Ocean Glass Lumi Jar(Box)",18,414,414,Correct,488.52,488.52,Correct,760,,Incorrect,36,18,0,18,"PO Required: 18",
"Moonstone Ventures LLP - Faridabad",49060210005238,4GH010C02602G0001,"Moonstone Ventures LLP - Faridabad","Moonstone Ventures LLP - Faridabad",27-03-2026,27-03-2026,70131000,Blinkit,10209164,"Ocean Glass Lumi Jar(Box)",18,414,414,Correct,488.52,488.52,Correct,760,,Incorrect,36,18,0,18,"PO Required: 18",
"Moonstone Ventures LLP - Kundli",2108510153911,BM365AMB_6,"Moonstone Ventures LLP - Kundli","Moonstone Ventures LLP - Kundli",27-03-2026,27-03-2026,70139900,Blinkit,10187646,"Pasabahce Amber Stem Wine Glass Set",18,657.84,657,Incorrect,776.25,775.26,Incorrect,1386,,Incorrect,24,16,4,12,"Bhiwandi WH - PO Qty: 16, Available: 4, Unavailable: 12<br>PO Required: 12",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054232,3V2055801G0001,"MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70131000,Blinkit,10130166,"Ocean Glass Divano Pitcher Water Jug (Transparent)(Pack)",18,445.5,445,Correct,525.69,525.10,Incorrect,820,,Incorrect,12,12,0,12,"PO Required: 12",
"MOONSTONE VENTURES LLP - Guwahati G1",7164510037505,3V2055801G0001,"MOONSTONE VENTURES LLP - Guwahati G1","MOONSTONE VENTURES LLP - Guwahati G1",27-03-2026,27-03-2026,70131000,Blinkit,10130166,"Ocean Glass Divano Pitcher Water Jug (Transparent)(Pack)",18,445.5,445,Correct,525.69,525.10,Incorrect,820,,Incorrect,12,12,0,12,"PO Required: 12",
"Moonstone Ventures LLP - Kundli",2108510153367,3V2055801G0001,"Moonstone Ventures LLP - Kundli","Moonstone Ventures LLP - Kundli",24-03-2026,24-03-2026,70131000,Blinkit,10130166,"Ocean Glass Divano Pitcher Water Jug (Transparent)(Pack)",18,445.5,445,Correct,525.69,525.10,Incorrect,820,,Incorrect,12,12,0,12,"PO Required: 12",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054189,BM365AMB_6,"MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70139900,Blinkit,10187646,"Pasabahce Amber Stem Wine Glass Set",18,657.84,657,Incorrect,776.25,775.26,Incorrect,1386,,Incorrect,24,12,0,12,"Bhiwandi WH - PO Qty: 12, Available: 4, Unavailable: 8<br>PO Required: 8",
"MOONSTONE VENTURES LLP - Visakhapatnam V1",2888310070880,BM365AMB_6,"MOONSTONE VENTURES LLP - Visakhapatnam V1","MOONSTONE VENTURES LLP - Visakhapatnam V1",27-03-2026,27-03-2026,70139900,Blinkit,10187646,"Pasabahce Amber Stem Wine Glass Set",18,657.84,657,Incorrect,776.25,775.26,Incorrect,1386,,Incorrect,24,8,0,8,"Bhiwandi WH - PO Qty: 8, Available: 4, Unavailable: 4<br>PO Required: 4",
"MOONSTONE VENTURES LLP - Visakhapatnam V1",2888310070880,BMHM1000,"MOONSTONE VENTURES LLP - Visakhapatnam V1","MOONSTONE VENTURES LLP - Visakhapatnam V1",27-03-2026,27-03-2026,70139900,Blinkit,10235006,"Pasabahce Glass Homemade Jar(Pack)",18,349.9,393,Incorrect,412.88,463.74,Incorrect,800,,Incorrect,0,6,0,6,"PO Required: 6",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054189,BMHM1000,"MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70139900,Blinkit,10235006,"Pasabahce Glass Homemade Jar(Pack)",18,393.22,393,Correct,464,463.74,Correct,800,,Incorrect,0,6,0,6,"PO Required: 6",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054232,P00840,"MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70131000,Blinkit,10120984,"Ocean Munich Beer Mug Set (Glass)(Pack)",18,712.73,712,Incorrect,841.02,840.16,Incorrect,1329,,Incorrect,0,4,4,0,"Baroda Warehouse 1 - PO Qty: 4, Available: 4, Unavailable: 0",
"Moonstone Ventures LLP - Nagpur N1",2549210068423,BM365AMB_6,"Moonstone Ventures LLP - Nagpur N1","Moonstone Ventures LLP - Nagpur N1",27-03-2026,27-03-2026,70139900,Blinkit,10187646,"Pasabahce Amber Stem Wine Glass Set",18,657.84,657,Incorrect,776.25,775.26,Incorrect,1386,,Incorrect,24,4,0,4,"Bhiwandi WH - PO Qty: 4, Available: 4, Unavailable: 0",
"Moonstone Ventures LLP - Noida N1",2867010106800,BM365AMB_6,"Moonstone Ventures LLP - Noida N1","Moonstone Ventures LLP - Noida N1",27-03-2026,27-03-2026,70139900,Blinkit,10187646,"Pasabahce Amber Stem Wine Glass Set",18,657.84,657,Incorrect,776.25,775.26,Incorrect,1386,,Incorrect,24,4,0,4,"Bhiwandi WH - PO Qty: 4, Available: 4, Unavailable: 0",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054232,SKB1004,"MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70133700,Blinkit,10187557,"Sanjeev Kapoor Infinity Goblet Wine Glass",18,277.33,277,Correct,327.25,326.86,Correct,595,,Incorrect,0,12,6,6,"Baroda Warehouse 1 - PO Qty: 12, Available: 6, Unavailable: 6<br>PO Required: 6",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054232,"P00140 2pcs","MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70131000,Blinkit,10155778,"Ocean Playboy Beer Mug Set (Glass)",18,282.75,282,Incorrect,333.65,332.76,Incorrect,510,,Incorrect,12,12,0,12,"PO Required: 12",
"MOONSTONE VENTURES LLP - Ranchi R1",2928210054232,P00623,"MOONSTONE VENTURES LLP - Ranchi R1","MOONSTONE VENTURES LLP - Ranchi R1",27-03-2026,27-03-2026,70131000,Blinkit,10144271,"Ocean Glass Stack Bowl Set (Transparent)(Carton)",18,255.45,255,Correct,301.43,300.90,Incorrect,799,,Incorrect,72,12,0,12,"PO Required: 12",
