customer_name,po_number,sku,facility_name,facility_location,po_date,po_expiry_date,hsn,item_code,description,basic_rate,gst,net_landing_rate,mrp,po_qty,available_quantity,unavailable_quantity
"Customer 1",PO-1001,SKU-1001,"Facility 1","Location 1",05-07-2025,03-10-2025,9430,ITEM001,"Item Description 1",451.43,28,281.84,669.97,87,100,"All Available"
"Customer 2",PO-1002,SKU-1002,"Facility 2","Location 2",05-07-2025,03-10-2025,9762,ITEM002,"Item Description 2",433.47,28,595.83,536.21,76,24,"52 Not Available"
"Customer 3",PO-1003,SKU-1003,"Facility 3","Location 3",05-07-2025,03-10-2025,6114,ITEM003,"Item Description 3",232.95,12,532.39,1459.03,79,24,"55 Not Available"
"Customer 4",PO-1004,SKU-1004,"Facility 4","Location 4",05-07-2025,03-10-2025,7395,ITEM004,"Item Description 4",727.98,28,1029.07,448.51,84,8,"76 Not Available"
"Customer 5",PO-1005,SKU-1005,"Facility 5","Location 5",05-07-2025,03-10-2025,6588,ITEM005,"Item Description 5",802.02,12,945.42,1303.57,88,12,"76 Not Available"
"Customer 6",PO-1006,SKU-1006,"Facility 6","Location 6",05-07-2025,03-10-2025,6133,ITEM006,"Item Description 6",674.06,18,416.76,252.4,89,36,"53 Not Available"
"Customer 7",PO-1007,SKU-1007,"Facility 7","Location 7",05-07-2025,03-10-2025,4395,ITEM007,"Item Description 7",573.97,5,733.88,1134.01,77,8,"69 Not Available"
"Customer 8",PO-1008,SKU-1008,"Facility 8","Location 8",05-07-2025,03-10-2025,6837,ITEM008,"Item Description 8",787.65,5,606.42,1088.76,90,24,"66 Not Available"
"Customer 9",PO-1009,SKU-1009,"Facility 9","Location 9",05-07-2025,03-10-2025,1273,ITEM009,"Item Description 9",949.2,18,612.04,481.38,13,6,"7 Not Available"
"Customer 10",PO-1010,SKU-1010,"Facility 10","Location 10",05-07-2025,03-10-2025,9433,ITEM010,"Item Description 10",612.05,5,562.57,508.37,79,8,"71 Not Available"
"Customer 11",PO-1011,SKU-1011,"Facility 11","Location 11",05-07-2025,03-10-2025,6709,ITEM011,"Item Description 11",257.43,5,259.13,1378.41,42,24,"18 Not Available"
"Customer 12",PO-1012,SKU-1012,"Facility 12","Location 12",05-07-2025,03-10-2025,9066,ITEM012,"Item Description 12",404.93,18,274.09,570.25,19,24,"All Available"
"Customer 13",PO-1013,SKU-1013,"Facility 13","Location 13",05-07-2025,03-10-2025,1016,ITEM013,"Item Description 13",523.36,18,437.73,432.01,56,12,"44 Not Available"
"Customer 14",PO-1014,SKU-1014,"Facility 14","Location 14",05-07-2025,03-10-2025,8311,ITEM014,"Item Description 14",440.04,5,609.46,1030.61,39,12,"27 Not Available"
"Customer 15",PO-1015,SKU-1015,"Facility 15","Location 15",05-07-2025,03-10-2025,9811,ITEM015,"Item Description 15",267.63,28,201.19,263.98,39,24,"15 Not Available"
"Customer 16",PO-1016,SKU-1016,"Facility 16","Location 16",05-07-2025,03-10-2025,1917,ITEM016,"Item Description 16",295.34,12,671.16,919.85,89,24,"65 Not Available"
"Customer 17",PO-1017,SKU-1017,"Facility 17","Location 17",05-07-2025,03-10-2025,8792,ITEM017,"Item Description 17",180.92,28,242.82,1059.26,96,24,"72 Not Available"
"Customer 18",PO-1018,SKU-1018,"Facility 18","Location 18",05-07-2025,03-10-2025,2531,ITEM018,"Item Description 18",108.81,5,924.49,1234.91,44,12,"32 Not Available"
"Customer 19",PO-1019,SKU-1019,"Facility 19","Location 19",05-07-2025,03-10-2025,6713,ITEM019,"Item Description 19",974.13,18,555.18,193.2,21,24,"All Available"
"Customer 20",PO-1020,SKU-1020,"Facility 20","Location 20",05-07-2025,03-10-2025,3988,ITEM020,"Item Description 20",615.99,28,618.28,1077.82,75,8,"67 Not Available"
